bus_factor.Time,bus_factor,bus_factor.name
2022-06-01,25.0,apache_dolphinscheduler
2022-06-01,36.0,apache_doris
2022-06-01,33.0,apache_flink
2022-06-01,43.0,apache_hudi
2022-06-01,23.0,apache_iceberg
2022-06-01,35.0,apache_pulsar
2022-06-01,32.0,apache_shardingsphere
2022-06-01,26.0,apache_spark
2022-06-01,71.0,apache_superset
2022-06-01,33.0,apache_tvm
2022-06-01,44.0,apple_swift
2022-06-01,43.0,appsmithorg_appsmith
2022-06-01,1.0,archwaynetwork_testnets
2022-06-01,20.0,ArduPilot_ardupilot
2022-06-01,204.0,argoproj_argocd
2022-06-01,34.0,Automattic_jetpack
2022-06-01,82.0,Automattic_wpcalypso
2022-06-01,251.0,aws_awscdk
2022-06-01,105.0,awsamplify_amplifycli
2022-06-01,15.0,azerothcore_azerothcorewotlk
2022-06-01,320.0,Azure_azurecli
2022-06-01,66.0,Azure_azurepowershell
2022-06-01,99.0,Azure_azurerestapispecs
2022-06-01,27.0,Azure_azuresdkforjava
2022-06-01,25.0,Azure_azuresdkforjs
2022-06-01,59.0,Azure_azuresdkfornet
2022-06-01,26.0,Azure_azuresdkforpython
2022-06-01,64.0,backstage_backstage
2022-06-01,42.0,bevyengine_bevy
2022-06-01,86.0,bioconda_biocondarecipes
2022-06-01,25.0,bitcoin_bitcoin
2022-06-01,97.0,bitnami_charts
2022-06-01,89.0,brave_bravebrowser
2022-06-01,24.0,brave_bravecore
2022-06-01,47.0,ccxt_ccxt
2022-06-01,39.0,ceph_ceph
2022-06-01,14.0,ChiaNetwork_chiablockchain
2022-06-01,34.0,cilium_cilium
2022-06-01,57.0,CleverRaven_CataclysmDDA
2022-06-01,68.0,ClickHouse_ClickHouse
2022-06-01,31.0,cloudflare_cloudflaredocs
2022-06-01,33.0,cmssw_cmssw
2022-06-01,39.0,cockroachdb_cockroach
2022-06-01,50.0,conanio_conancenterindex
2022-06-01,79.0,condaforge_stagedrecipes
2022-06-01,80.0,containers_podman
