stars.Time,stars.name,stars
2015-07-01,magento_magento2,85.0
2015-07-01,MarlinFirmware_Marlin,53.0
2015-07-01,matplotlib_matplotlib,97.0
2015-07-01,matrixorg_synapse,27.0
2015-07-01,microsoft_TypeScript,420.0
2015-07-01,mrdoob_three.js,486.0
2015-07-01,mui_materialui,784.0
2015-07-01,neovim_neovim,486.0
2015-07-01,NixOS_nixpkgs,38.0
2015-07-01,nodejs_node,279.0
2015-07-01,obsproject_obsstudio,98.0
2015-07-01,odoo_odoo,137.0
2015-07-01,opencv_opencv,294.0
2015-07-01,openhab_openhabaddons,21.0
2015-07-01,openshift_openshiftdocs,1.0
2015-07-01,openssl_openssl,123.0
2015-07-01,pandasdev_pandas,159.0
2015-07-01,php_phpsrc,294.0
2015-07-01,postmanlabs_postmanappsupport,46.0
2015-07-01,ppy_osu,1.0
2015-07-01,PrestaShop_PrestaShop,95.0
2015-07-01,qbittorrent_qBittorrent,71.0
2015-07-01,qgis_QGIS,24.0
2015-07-01,qmk_qmk_firmware,4.0
2015-07-01,rails_rails,490.0
2015-07-01,rancher_rancher,133.0
2015-07-01,rapid7_metasploitframework,216.0
2015-07-01,redis_redis,455.0
2015-07-01,RocketChat_Rocket.Chat,315.0
2015-07-01,RPCS3_rpcs3,41.0
2015-07-01,rstudio_rstudio,27.0
2015-07-01,rustlang_rust,428.0
2015-07-01,scikitlearn_scikitlearn,482.0
2015-07-01,scipy_scipy,66.0
2015-07-01,spack_spack,3.0
2015-07-01,spyderide_spyder,49.0
2015-07-01,symfony_symfony,202.0
2015-07-01,systemd_systemd,112.0
2015-07-01,termux_termuxpackages,28.0
2015-07-01,tgstation_tgstation,8.0
2015-07-01,Ultimaker_Cura,28.0
2015-07-01,webcompat_webbugs,4.0
2015-07-01,woocommerce_woocommerce,60.0
2015-07-01,xbmc_xbmc,71.0
2015-08-01,AdguardTeam_AdguardFilters,2.0
2015-08-01,angular_angular,618.0
2015-08-01,ankidroid_AnkiAndroid,17.0
2015-08-01,ansible_ansible,421.0
2015-08-01,antdesign_antdesign,635.0
2015-08-01,apache_airflow,107.0
2015-08-01,apache_flink,57.0
2015-08-01,apache_spark,375.0
2015-08-01,apache_superset,6.0
2015-08-01,ArduPilot_ardupilot,71.0
2015-08-01,Automattic_jetpack,16.0
2015-08-01,Azure_azurepowershell,35.0
2015-08-01,Azure_azurerestapispecs,7.0
2015-08-01,Azure_azuresdkforjava,2.0
2015-08-01,Azure_azuresdkfornet,17.0
2015-08-01,Azure_azuresdkforpython,8.0
2015-08-01,bitcoin_bitcoin,202.0
2015-08-01,ceph_ceph,64.0
2015-08-01,CleverRaven_CataclysmDDA,26.0
2015-08-01,cmssw_cmssw,5.0
2015-08-01,cockroachdb_cockroach,128.0
2015-08-01,cypressio_cypress,6.0
2015-08-01,darktableorg_darktable,16.0
2015-08-01,DefinitelyTyped_DefinitelyTyped,206.0
2015-08-01,directus_directus,249.0
2015-08-01,dotnet_aspnetcore,162.0
2015-08-01,dotnet_AspNetCore.Docs,27.0
2015-08-01,dotnet_docs,7.0
2015-08-01,dotnet_efcore,153.0
2015-08-01,dotnet_roslyn,252.0
2015-08-01,elastic_elasticsearch,422.0
2015-08-01,elastic_kibana,159.0
2015-08-01,electron_electron,1168.0
2015-08-01,facebook_react,1577.0
2015-08-01,facebook_reactnative,912.0
2015-08-01,flutter_engine,75.0
2015-08-01,flutter_flutter,5.0
2015-08-01,gatsbyjs_gatsby,29.0
2015-08-01,gentoo_gentoo,83.0
